,precision,recall,f1-score,support
0,0.918918918918919,0.8947368421052632,0.9066666666666667,38.0
1,0.9361702127659575,0.9361702127659575,0.9361702127659575,47.0
2,0.8333333333333334,0.8571428571428571,0.8450704225352113,35.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.8961408216727366,0.896016637338026,0.8959691006559453,120.0
weighted avg,0.9007132132132133,0.9,0.9002566510172144,120.0
