,precision,recall,f1-score,support
0,0.8918918918918919,0.9166666666666666,0.9041095890410958,36.0
1,0.8723404255319149,0.9318181818181818,0.9010989010989012,44.0
2,0.8333333333333334,0.75,0.7894736842105262,40.0
accuracy,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
macro avg,0.8658552169190467,0.8661616161616162,0.8648940581168411,120.0
weighted avg,0.865203501373714,0.8666666666666667,0.8647937018521012,120.0
