,precision,recall,f1-score,support
0,0.825,1.0,0.9041095890410958,33.0
1,0.9523809523809523,0.9302325581395349,0.9411764705882352,43.0
2,0.9210526315789473,0.7954545454545454,0.8536585365853658,44.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.8994778613199665,0.9085623678646934,0.8996481987382322,120.0
weighted avg,0.9058641395154552,0.9,0.8988931690283865,120.0
