,precision,recall,f1-score,support
0,0.8571428571428571,0.9545454545454546,0.9032258064516128,44.0
1,0.8648648648648649,0.8648648648648649,0.8648648648648649,37.0
2,0.8529411764705882,0.7435897435897436,0.7945205479452054,39.0
accuracy,0.8583333333333333,0.8583333333333333,0.8583333333333333,0.8583333333333333
macro avg,0.8583162994927701,0.8543333543333543,0.8542037397538943,120.0
weighted avg,0.8581582633053222,0.8583333333333333,0.8560686404477831,120.0
