,precision,recall,f1-score,support
0,0.9259259259259259,0.9259259259259259,0.9259259259259259,27.0
1,0.9183673469387755,0.9,0.9090909090909091,50.0
2,0.8636363636363636,0.8837209302325582,0.8735632183908046,43.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9026432121670217,0.9032156187194946,0.9028600178025465,120.0
weighted avg,0.9004560915275202,0.9,0.9001480320445838,120.0
