,precision,recall,f1-score,support
0,0.8727272727272727,0.96,0.9142857142857144,50.0
1,0.9333333333333333,0.8,0.8615384615384616,35.0
2,0.8571428571428571,0.8571428571428571,0.8571428571428571,35.0
accuracy,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333
macro avg,0.8877344877344878,0.8723809523809524,0.8776556776556776,120.0
weighted avg,0.8858585858585858,0.8833333333333333,0.8822344322344322,120.0
