0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
0,5.203049,7.5616465,57.305096,193.29086,208.05368,84.08812,34.16696,50.068886,111.37597,118.04097,43.476315,17.042843,36.33208,84.67046,80.8244,222.24841,205.0235,390.00497,172.71318,215.359,251.6485,465.10678,212.09799,65.09111,54.574028,80.678055,195.8604,172.60104,173.92517,90.60401,61.474007,25.074892,50.875957,168.87859,147.08476,249.51253,1703.7167,2887.0835,844.69366,12535.405,13990.6455,3299.9011,2193.6304,367.05865,61.968636,202.00136,102.6262,101.03984,74.11587,76.43528,97.829834,257.972,400.9044,681.07874,763.10065,471.6881,627.1146,598.8275,65.577736,99.154594,523.74084,351.15833,251.42484,658.7256,267.37955,52.37651,82.45276,209.63647,248.1385,298.9991,100.813484,142.17883,688.54156,656.2354,629.469,1246.2936,4764.1387,3359.7615,924.1919,2397.4863,4165.9956,5558.3315,1738.2573,684.6879,328.22733,648.3678,428.2685,226.67358,201.51602,118.817154,229.65054,775.1579,538.07214,622.89935,254.5792,46.298477,439.09436,976.1646,328.83926,266.67993,416.96954,152.436,420.08844,485.27078,152.10997,10.225436,42.104652,35.524967,5.6923943,3.1188967,9.407516,40.204937,26.02881,48.803925,118.00175,598.55914,1343.5294,1165.303,573.3563,730.1012,1582.6683,1125.2593,874.515,574.65283,271.15244,663.0675,259.73782,9.496319,9.47281,24.745857,61.564236,137.68065,52.609703,161.43077,256.02823,195.37544,1062.842,940.2934,65.70694,25.794603,76.10813,341.73984,208.04109,114.81324,393.19745,350.6096,212.84311,253.38373,432.48294,117.52524,101.65923,107.29738,237.76364,435.65912,283.1155,402.43964,606.68134,401.88187,114.750595,92.96258,337.74753,126.33023,106.482,215.22029,291.90625,92.434135,368.93814,462.8648,60.002438,8.0367775,3.985135,8.821266,16.306032,59.33752,71.106316,129.43922,453.6753,193.65851,152.58318,78.02075,26.85697,59.406334,87.159935,28.523506,29.671354,120.72021,116.18452,162.96532,175.40768,88.5424,58.12365,58.827946,156.61237
0,4.5937586,18.851685,136.309,243.33743,112.80006,204.76222,246.77808,221.22481,37.937103,226.22932,246.36494,20.693453,80.933105,156.52005,456.86444,1115.8824,260.8039,41.752125,159.78073,447.81784,283.57895,210.01508,188.4692,34.37194,263.76303,382.97543,624.0539,2776.7627,1543.7378,449.69614,744.04456,1353.8748,834.2795,211.03285,332.58582,179.38924,558.7053,1022.0263,171.08531,20.065075,8.892223,55.73496,300.95544,609.58014,642.5343,288.22552,874.63025,824.4305,1030.9015,2276.4375,1053.5952,751.9738,961.4469,851.14526,464.33524,946.12115,1889.5251,426.97668,146.0822,131.82753,210.55087,900.09247,529.297,195.67207,529.25214,762.81537,477.69504,102.88832,157.78986,175.88884,271.0455,393.39627,191.4701,76.288506,143.42252,432.30457,780.9483,383.20142,280.1195,1064.1486,1239.5315,788.3742,341.3366,544.17285,174.22626,24.361979,143.77669,763.7262,411.4135,128.54832,32.92712,188.00542,171.68529,126.83896,83.69307,21.390938,237.67319,444.7766,327.3483,235.25183,158.75871,166.71504,530.2622,472.93695,384.7131,317.80637,246.60194,98.69578,71.458244,227.09697,240.88885,366.28885,389.59018,38.514305,77.81333,84.406876,67.07216,78.0561,131.71141,101.403725,10.638735,12.383825,9.841679,7.3228445,212.92761,2100.1592,1265.2681,198.86899,131.3711,47.35009,601.7812,1157.0654,507.3638,133.48639,20.080795,44.14995,40.681664,50.45228,44.009007,15.147031,2.837087,2.177011,3.3829477,5.5417953,35.163696,24.099852,3.3233953,11.5516615,168.81818,140.64836,10.976653,7.9518633,5.130506,36.46083,109.81925,157.00963,448.87766,495.381,30.388958,0.705474,2.7355902,4.6155457,4.0541344,27.731298,25.210188,9.154356,8.2382345,166.9868,177.60611,52.089367,43.282566,110.63233,136.06393,78.338005,92.59562,62.649517,25.74554,3.5105066,1.2208611,9.164341,58.595608,238.4451,117.92134,39.16693,15.1519575,18.625631,158.95499,206.46738,108.01296,54.787796,48.312923,70.17632,117.62811
0,0.10480418,0.87435925,65.15524,151.09535,177.33594,94.98011,43.95833,30.206648,97.17074,43.94706,336.88895,1005.2023,458.9793,368.11472,448.69083,541.38416,140.18843,317.75742,532.60675,57.42197,20.783537,1451.7423,3449.583,2474.8103,942.8215,174.37697,119.285675,157.88472,412.67026,632.9782,696.0466,189.9325,1487.443,2402.127,251.03986,20.083836,4.862269,217.79005,1295.4165,523.2542,147.92384,245.73978,42.65173,52.62308,219.24985,539.8355,223.511,84.545815,48.200413,101.29582,366.64368,736.23126,980.4127,445.1205,4286.311,4106.658,733.59674,241.43314,69.64173,65.116394,218.10847,257.66055,131.66472,132.40579,506.64804,750.2143,486.65854,257.10507,870.1029,286.94345,20.046707,171.6456,1007.8527,521.16223,465.2323,1312.4109,2962.5232,1833.2472,635.2307,279.4115,117.06141,239.79128,357.72415,70.06845,80.629326,60.29055,523.2229,3324.5222,1375.7511,831.6683,2026.1396,410.149,175.19627,183.78218,41.172974,155.87029,108.830086,28.121876,89.65576,1391.2698,1426.5251,735.18604,111.50662,354.78394,416.9611,263.3869,499.85696,318.00314,452.86673,1208.5406,1766.8418,950.39575,417.3129,1428.6547,483.5941,165.70688,186.61667,76.56268,54.795258,212.18799,460.48035,217.58165,235.7105,287.58655,297.75232,66.978325,61.351357,301.92313,919.88617,576.76434,335.6057,280.96106,652.83905,379.0626,236.66953,195.16571,28.377247,2.0192475,196.70993,583.8503,200.71165,304.13522,352.7802,67.503914,315.41068,323.52686,216.86635,26.36666,49.346573,132.13605,267.92053,436.1964,164.34099,150.84727,403.00998,74.40085,5.7131567,27.964317,90.159744,43.841045,126.85505,267.64468,404.77896,147.96579,30.500837,13.851947,61.429306,224.01962,200.80986,12.681395,25.567974,23.76108,19.711246,25.110704,109.63459,256.4606,408.78864,486.6568,278.84845,258.3573,281.3905,41.6435,221.46321,568.08606,928.02686,268.37943,129.516,124.02008,178.24571,396.10123,218.69563,33.91368,37.7172
0,36.109974,15.117492,11.405683,35.323154,54.35911,33.167416,65.16017,117.56238,177.647,150.72481,89.53736,29.28771,53.221336,164.70927,1394.0382,2657.3735,676.02924,105.26067,75.35477,141.74557,106.87136,106.69245,210.7811,468.42886,756.3866,741.28217,148.05283,411.02768,2875.328,8236.918,15541.532,5561.7095,2428.3782,2236.8713,1733.1925,1174.0948,203.3647,81.62783,939.8706,1806.3628,1096.7164,307.36325,263.64557,1257.9723,1630.2803,1068.8551,1118.7029,576.06366,471.7996,496.666,264.86642,253.8881,532.36316,1531.214,1740.5244,1008.62024,526.39746,797.1326,2822.3938,1880.0919,4072.0903,5165.7437,1756.2483,5926.387,3684.6924,874.65814,822.6305,1317.6438,3368.9116,2177.3335,1101.4315,931.409,491.05182,1241.3948,1003.7203,1190.65,1113.1001,948.1066,1178.9894,388.5873,154.14226,313.20306,395.29156,785.30054,488.44452,522.72626,693.70496,755.14716,1577.8192,834.44763,1594.7179,1363.3005,1522.7911,2881.7852,1287.1417,945.7388,794.7852,890.6145,1642.1693,1181.963,1274.3247,710.32477,829.7982,1962.7843,1459.4922,1175.8895,428.29187,560.3527,834.04095,498.34,309.97174,312.72415,287.1123,599.24896,363.82043,223.07823,254.73055,357.38177,616.17505,578.2981,294.65967,194.44373,753.5373,1295.9985,781.0904,189.78651,187.61513,385.8527,1353.3408,2015.3121,1124.393,791.8716,833.3242,1434.7362,963.7888,706.05597,158.98705,367.6085,773.74713,471.21933,158.84749,50.554718,97.28953,535.7772,648.4157,136.70688,119.1107,321.02545,372.6636,403.2983,265.1972,193.31157,246.34619,484.87567,425.24988,134.44208,114.89224,159.9201,643.5065,552.58,684.2373,696.96173,339.27542,831.8871,742.9091,265.95953,166.15906,156.89398,283.98557,192.80385,117.61759,90.45083,141.8368,152.0448,128.52687,221.95624,243.24678,164.79741,222.71544,212.03378,93.19459,68.85374,117.71389,111.521935,125.39339,37.616116,43.56391,93.86095,142.33035,228.74722,663.2856,933.355,378.11325
0,0.051060457,0.20676944,28.768784,261.05588,134.8279,3.545354,60.093357,61.552223,8.689521,809.88116,1644.756,191.06943,34.65036,140.92047,37.36139,63.742813,618.5572,335.0198,13.624649,298.11264,318.65564,14.369358,1.3762381,2.3562799,0.5828727,2406.5308,10667.195,2949.4204,17.814997,179.28812,102.338394,54.24134,1632.4719,1827.0405,103.93081,2605.6763,5810.142,759.22595,47.401085,205.68918,59.79299,10.157172,111.08666,66.9788,36.746574,1217.1198,1425.5017,75.000595,16.5194,36.24808,5.272622,478.85098,2355.7625,719.747,3.3942907,35.54019,23.065332,37.094193,1364.901,1671.7183,108.43987,3553.7114,8709.965,1275.9841,10.742544,37.930725,12.283324,23.262424,290.65558,189.20201,35.41624,1301.1012,1669.6388,101.53781,121.80122,308.24765,47.809673,30.783123,168.20432,57.41013,52.377834,700.7833,477.0032,13.979155,249.72322,334.11832,25.292795,1424.5006,3841.4312,629.21576,3.1523852,11.781339,4.655079,47.083527,673.9194,479.81595,45.121964,1729.7452,2430.8806,169.71088,87.181915,239.62146,41.593945,20.214603,122.735016,46.07806,58.896248,900.50604,671.3662,17.930693,176.49274,258.28186,19.695538,227.67177,676.188,123.62742,17.852695,113.92416,45.123867,44.76985,736.63025,573.97406,34.758087,1236.541,1903.8379,151.9673,62.45093,188.85667,36.850975,106.919624,729.04517,297.67636,40.83933,699.39154,571.14734,17.895521,184.99648,296.8913,25.337624,0.46275422,0.78163385,0.17420803,4.191944,30.243664,13.2455015,15.538739,295.57135,252.14618,8.691515,87.06901,146.85341,13.342733,49.368847,169.17374,36.646107,75.67962,578.90924,259.6442,15.9496,296.05392,264.68973,9.207195,64.03958,112.563354,10.905785,112.5355,406.18204,91.65144,0.24976975,1.9340069,1.0207591,5.7011943,126.49262,118.204025,4.198259,3.8103695,6.843913,0.708619,16.606401,63.165512,15.143218,19.241602,165.58861,81.55479,0.9777162,8.650771,8.463627,0.3552999,3.9462802,7.6252556,0.8349574,275.9895,1103.6895
0,0.48969162,16.922646,183.63962,114.842064,108.49993,149.58818,163.50389,510.26288,117.566475,96.48179,71.685005,752.00433,896.1463,108.58237,173.7043,29.749762,0.094116375,0.24294768,5.63169,6.518099,189.65329,448.87384,64.10807,4.7900186,269.7688,5250.732,4543.14,199.32462,130.84833,417.21545,2002.1978,626.70636,139.14334,105.87539,332.19342,563.01874,63.711536,54.564922,528.0129,6137.946,3880.5654,1555.4622,2161.1702,173.8193,50.747658,33.393654,209.5487,112.92975,42.81783,51.296772,3.4152763,1.5220263,71.65645,547.30286,305.75995,1551.9597,1625.4996,75.05265,12.945302,142.02374,881.355,342.40204,111.088776,117.02355,2675.6099,5545.3423,1064.081,2018.2329,751.52203,1775.6523,1350.364,104.57955,131.77286,45.859856,144.532,38.896633,1.3229213,1.4750353,37.573345,56.276684,201.69736,706.2308,180.37654,205.2695,112.89707,1.9652737,1.0422645,7.576808,22.73524,35.035442,249.42268,117.902145,45.758213,53.443134,1824.2975,4632.6396,709.2398,12.14673,7.877972,82.36848,78.2715,323.25497,686.4272,134.75604,254.88622,217.2179,2175.4724,1708.6901,52.684002,20.288654,21.617023,87.20911,25.559032,19.189592,13.205742,20.638802,31.460104,3.2506123,2.800114,57.67492,591.2148,337.01288,91.918015,116.80584,97.62537,280.35602,76.807274,197.19191,96.77121,70.89659,78.85597,62.000023,154.42519,147.0035,842.2814,362.9628,418.13174,396.86237,26.935984,26.974,32.280647,158.99716,57.229435,39.79267,33.84041,161.06007,300.6314,78.10468,210.63223,71.11999,133.45003,92.10995,5.570926,6.300912,48.147827,183.99066,44.45226,0.22155495,7.602193,349.38086,474.47058,34.602543,9.946547,27.061289,221.0517,114.21888,161.79382,186.38261,53.474506,120.95053,30.889439,79.80506,33.967255,12.142496,12.284098,81.835495,186.46234,28.322578,16.563051,5.9058433,0.18032995,1.3028775,140.51965,273.0123,35.49153,24.84674,17.058945,134.99875,103.3127,482.87808,791.8692,81.49492,50.466515
0,0.010983157,0.06684434,60.275757,184.87274,35.353714,66.95157,158.45398,23.011244,61.01324,112.46906,11.515038,0.21620725,0.8197093,30.859907,967.9113,1092.6713,53.97744,1.0046113,0.1823713,0.9270945,12.44796,8.651397,3.337375,30.693262,17.111681,114.90363,816.94446,345.03555,32.750443,164.48688,53.78915,208.53693,834.0653,210.00742,2171.4722,6648.434,1263.9073,1134.3485,2685.1191,378.5841,72.267075,131.3919,20.204803,341.27808,491.75058,35.80389,9.720858,11.724338,73.55212,1483.7302,1313.8851,43.509983,19.879932,13.347657,1.061085,7.635436,4.2552595,31.050606,220.70326,93.38016,75.47227,398.2122,129.95615,100.228096,399.74835,100.89611,716.5954,2193.8335,416.2624,183.12492,434.47095,77.21519,1724.7866,3175.636,325.22296,3.4225411,2.190086,12.51412,387.56097,437.38153,21.966734,6.371428,5.912681,52.758068,725.34424,503.80298,160.10542,1458.956,792.32886,17.63304,67.537766,28.536566,8.762415,45.75174,14.949488,10.0406475,40.05883,10.137362,152.041,465.55933,90.27619,468.2214,1107.6945,173.56953,1628.5265,3000.972,308.37448,101.48175,142.51682,10.394147,0.2914586,0.2213539,0.88508713,17.654697,15.641994,0.9355625,5.855962,4.074428,1.2811599,11.844478,6.7825384,132.30466,939.74713,397.00632,18.489944,88.256454,28.850672,0.13258755,0.4158577,0.23800968,143.73587,440.2248,83.21778,16.214651,38.135967,5.5865107,19.473875,35.988228,12.995091,482.32825,694.34894,56.91887,190.20549,214.68974,11.487307,20.295698,17.973988,12.489764,165.70569,114.98183,3.6440578,13.755063,7.4904046,15.747126,111.293365,47.02397,1.0675684,4.68906,1.5259875,28.76033,114.95475,28.757116,0.53618187,1.6545244,0.50808156,49.290188,116.68059,16.396917,0.1734711,0.2674021,1.7761098,92.62237,133.37276,10.306686,21.998003,24.843397,22.130196,420.05707,372.30273,12.22867,6.291021,4.22273,5.843501,56.563576,30.674051,2.42121,14.853581,6.2800674,2.8620744,14.974111,4.88818,46.638042,186.46638
0,170.98778,290.96152,200.24115,190.25883,196.10883,169.17165,237.59773,307.92325,400.459,1032.0055,2015.3639,1507.1293,360.27643,174.03851,303.3906,184.1816,95.772446,250.65506,237.59576,99.19373,359.86694,577.2659,821.96967,455.87604,769.938,785.43884,553.03094,936.45557,4521.3027,3647.593,902.8388,505.76227,490.21912,327.11807,398.73526,296.82028,237.79498,432.23746,2798.1086,2595.379,800.0041,359.2812,180.68825,345.32468,492.07486,451.29614,138.0114,251.40825,938.3015,1074.6086,571.75494,544.18866,947.2108,817.84937,437.94025,506.80887,2352.2683,2631.9893,1577.8407,2619.0955,1397.0542,1162.9418,1247.8707,1211.3499,390.02975,133.28418,843.46124,3250.7156,1340.1492,221.28029,528.51184,553.97266,243.23979,203.42972,913.3417,874.82764,392.67038,246.02696,341.81348,488.7881,276.01373,166.34998,373.22733,404.30017,331.70706,727.6954,514.9994,732.3187,504.04413,364.29486,609.1423,766.19977,638.21515,565.5261,551.25616,1698.032,1469.5524,588.613,273.5519,427.5365,534.482,269.3221,260.76266,263.84464,298.26907,163.72752,135.40623,180.8777,324.9886,235.72015,89.19566,175.49042,322.61087,207.94157,350.5899,859.7789,785.5642,362.1838,683.2392,355.7474,192.31825,89.80793,242.23688,564.4883,458.12064,363.72754,378.04407,289.53918,252.21019,218.07388,345.53903,230.70526,118.24952,216.18176,431.6662,154.91245,254.50476,263.91833,93.07583,50.67427,65.794304,63.50107,36.103832,190.28891,541.0103,185.63678,77.34337,138.6204,192.76689,77.76004,50.755543,36.28237,115.653824,461.96222,492.27484,352.80212,227.16461,131.70793,95.429955,80.21193,99.10001,119.88928,115.03012,94.24205,62.139957,43.41408,39.39474,29.541159,26.560705,58.389427,92.659325,52.393234,33.568886,101.31182,104.57742,46.03576,50.31894,127.054184,51.324505,71.11489,104.85448,65.152306,144.89125,88.17568,16.220076,50.604088,85.41779,56.82322,108.55641,205.20387,40.75705,118.142265,299.3288
0,64.68794,81.71028,55.317043,27.507973,58.813583,38.15126,133.38208,226.27486,55.521824,103.89095,120.3588,95.86559,884.3049,973.5689,2479.678,1971.2147,288.36917,159.64684,122.76665,52.845192,54.3909,290.58557,266.61325,769.8292,413.3868,162.73267,1193.2826,5145.583,6046.7344,1644.0875,150.60103,54.032303,435.136,773.0639,302.29156,61.669247,86.47525,189.3369,312.7176,231.34055,542.1981,2751.7625,2303.1252,483.9061,92.71883,514.4184,499.5082,292.5391,509.9303,161.62625,117.913,201.33852,638.93,605.7924,2394.4246,3975.2769,1089.5393,1024.9097,367.10638,792.76587,652.1895,366.73254,1733.4851,1461.8202,1694.0702,1680.6686,553.59283,132.49538,1127.4062,4595.5884,1629.2661,71.76726,167.89856,406.41736,449.14624,185.26149,252.15408,113.00868,371.14935,630.812,111.398315,468.16885,773.84784,561.9636,480.04865,227.44873,137.90128,1429.5878,1149.1086,312.50766,1002.25433,734.253,509.71988,970.00696,309.623,308.914,1354.8289,739.4488,123.648125,217.36214,494.2124,774.2083,1460.6653,634.16156,497.39197,468.08627,263.15112,77.28657,70.87348,38.486664,269.06448,327.2066,190.38608,102.014404,322.79996,276.60223,453.43372,753.7175,226.75444,142.88551,615.7914,364.8562,246.03607,470.8367,279.8077,66.439735,136.15158,300.19977,515.232,486.71613,63.408485,442.42606,707.56915,376.02832,277.34872,153.22556,62.407024,93.83002,170.73552,143.14186,51.879284,123.34901,205.59938,208.2213,132.47795,219.50673,102.92394,223.85445,227.00089,38.134678,71.3844,150.96454,72.82414,81.97352,123.7049,43.912186,185.94075,248.44525,168.68614,456.59616,378.69485,214.59547,93.14732,30.924519,17.064617,8.42638,34.02432,58.785667,163.3065,41.789455,22.156578,61.02263,19.344566,109.77181,274.7951,145.96898,25.249008,34.05095,38.22743,18.562162,16.410965,39.082314,211.61246,150.38759,5.1396556,7.9336953,54.00902,147.0793,229.0122,218.90547,70.483086,73.7581,79.22257
0,48.414875,59.446754,181.60808,90.13865,19.3724,70.62416,180.18939,91.615036,163.41805,135.10104,254.73808,106.93666,156.57022,765.6999,2301.0984,2306.8489,1384.7345,398.86472,128.27943,67.86876,112.14608,84.42444,131.57529,215.63455,238.55771,159.6536,184.53444,286.80377,4523.674,14160.941,3511.0854,186.82477,391.9963,543.8569,336.74875,436.99014,325.7091,101.10546,224.94548,378.3226,531.04724,190.6229,1355.7285,5166.089,3063.1125,1171.614,527.5546,200.71756,78.70058,84.16404,107.48548,141.50531,186.58752,413.4132,467.53174,101.427666,237.32053,2278.7722,6308.3276,2471.6213,452.505,784.64685,1152.9689,410.98553,409.4409,278.38922,213.49472,749.3585,515.46265,532.9035,423.3095,1938.3635,6122.7026,2915.3489,2287.8862,1928.945,752.0198,292.45718,148.22473,313.34027,376.23688,569.15393,328.36523,321.71753,148.55565,220.72133,754.97125,1190.2635,792.5857,412.50946,1072.8019,1017.11694,311.19632,320.63272,239.87032,503.58942,1377.0906,774.1776,1111.1229,1045.7384,1250.4114,2765.178,799.5856,683.2264,904.8238,713.5153,286.44955,173.9047,322.11166,257.09897,646.84235,355.333,232.89854,235.89969,285.40094,445.7175,504.55307,538.5851,217.13152,366.1352,176.4169,136.36366,94.21756,135.5099,373.43802,1165.123,627.33765,661.68317,828.3832,330.1684,774.73474,407.38333,460.80078,1153.4196,894.45844,303.71445,242.58008,179.87778,294.43228,822.45087,436.53134,272.49127,455.57892,249.9502,138.97969,173.27565,290.715,310.8804,340.1332,90.35184,22.985538,41.36297,116.13688,257.0644,551.5016,347.61362,283.47046,231.13997,40.961494,72.163864,46.34229,108.82231,399.81497,280.21066,69.71251,117.553986,161.54005,337.61908,433.07306,176.55038,218.31923,287.58722,151.1982,118.36609,35.683327,28.806011,100.76652,121.64512,31.271284,29.439981,32.638844,53.24662,230.14531,371.61923,452.93213,150.3082,162.82262,258.83057,231.09364,87.63382,105.60767,174.3546,262.48605
