0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,49.175,47.552174,16.304893,9.598336,6.8793464,4.3193164,6.8263965,8.560914,4.3706436,7.6821666,5.735258,6.591094,8.8025055,8.929661,5.514705,5.1354294,3.2232478,4.67891,5.929711,5.0670795
0,42.657738,44.549515,20.698606,12.717169,9.248201,7.7383256,10.460286,11.0431795,6.247751,5.8379803,4.64229,5.905812,7.811336,6.9957323,4.2788224,4.0723977,3.2734904,3.3341045,3.9618652,3.598909
0,41.819107,35.877342,8.205245,3.8960264,3.273196,5.036699,7.629231,9.06933,4.959523,7.0207014,4.669764,7.834953,9.940009,9.230633,4.5879703,5.0597825,4.3309784,4.9266453,8.112144,5.3501325
0,61.759415,58.296677,22.43144,11.509463,7.022404,5.758629,8.109246,9.658823,6.1825686,8.576677,5.4495897,7.232696,8.45751,7.9428005,5.158569,4.7484584,3.8196123,3.7879293,4.622775,3.9692953
0,47.667587,45.75182,16.936586,6.5767207,3.1101718,4.361822,7.021106,9.161273,4.2435503,8.420634,4.610034,7.051945,6.281926,4.523904,3.2856972,2.619378,2.9438727,3.7621825,5.8576565,4.643576
0,45.56445,47.722992,21.9557,11.873484,7.365857,4.584691,6.35145,7.4363236,3.8542416,6.712046,4.7369156,7.015016,9.77878,8.239977,4.832294,3.6966963,2.475327,2.6476367,3.5845485,3.4649324
0,41.97416,44.095985,19.371227,8.202794,6.042038,8.049491,12.003732,12.250803,5.9874907,8.066284,5.2348127,6.6540833,7.9219613,5.953275,3.8793905,3.424328,3.4949565,4.3967113,5.249276,4.5797095
0,51.701424,50.176994,17.883524,8.278101,4.767939,4.5033026,7.290911,9.229254,4.857073,6.6767416,4.519072,6.2487383,6.4818296,5.8827305,4.1767974,4.698288,3.2499678,3.8740098,4.3945785,3.3814244
0,54.98884,52.83724,20.707079,10.394254,5.9623675,7.2778425,11.296425,12.062258,6.4382763,6.48136,4.582041,8.135548,7.3529253,6.8403606,5.01642,4.4089985,4.591779,3.2770922,5.8024163,4.4501834
0,57.044228,50.95657,16.047832,9.498705,6.583325,5.579839,7.2556868,9.640135,6.1007643,5.929466,4.061898,7.9214253,7.879997,7.3709226,5.5991364,5.0770082,3.1000645,4.4025865,5.3889246,3.6152894
0,50.634666,49.06342,18.997177,11.678613,8.088202,4.2922945,6.292933,8.296148,5.122506,6.4310675,4.089691,5.9611073,6.220818,6.361915,3.7231221,3.3330941,2.6677427,2.7944877,4.3081417,3.8483322
0,45.99776,41.521904,11.887312,6.520519,4.957312,6.1236,9.467233,11.492744,6.78337,6.09315,4.3426194,8.007366,11.1603565,12.035308,4.9765506,3.962385,4.1661925,4.2387075,6.263073,4.877265
0,46.268806,47.431133,20.019691,9.587321,5.9492817,4.8025575,7.7807245,9.595597,4.0520244,7.0374823,4.6670284,5.551479,5.6000648,5.6701827,3.4809752,3.2791047,2.5015166,2.5593102,3.3706815,2.7911158
0,86.999695,70.971146,19.179523,9.072516,6.0339303,10.019247,15.932651,18.60073,10.461925,11.905586,6.6785707,14.332075,13.178513,10.27958,7.547867,6.8154488,5.290597,5.6585283,8.866112,5.586473
0,59.75475,50.046288,19.293781,15.605629,12.9536295,7.873809,13.023749,12.4065485,6.997497,8.211043,5.5042267,7.807906,10.235027,9.332108,4.885533,4.6603513,3.2575746,4.109306,5.8793583,4.569131
0,37.614223,31.461819,10.529138,16.937649,11.796073,4.4897485,9.01078,8.422392,6.110583,6.300212,4.0907025,5.406687,7.587693,6.5844293,3.744379,4.6054416,3.71287,5.424647,6.9312444,5.6629033
